[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function initialSupply
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for crowdsaleActive
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for crowdsaleActive
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function crowdsaleActive
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for crowdsaleEnded
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for crowdsaleEnded
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function crowdsaleEnded
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for withdrawLeftoverWei
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for withdrawLeftoverWei
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function withdrawLeftoverWei
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for changeTokenPrice
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for changeTokenPrice
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function changeTokenPrice
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for getSaleData
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | We should not consider this kind of return values!
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for getSaleData
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function getSaleData
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for getTokensSold
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for getTokensSold
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function getTokensSold
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for listExists
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for listExists
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function listExists
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for nodeExists
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for nodeExists
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function nodeExists
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for createLink
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for createLink
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function createLink
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for numDigits
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for numDigits
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function numDigits
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for setCanceled
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for setCanceled
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
