[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for computeExposureDelta
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for computeExposureDelta
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function computeExposureDelta
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for applyTrade
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for applyTrade
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for unpackOrder
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for unpackOrder
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for unpackOrder
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for unpackOrder
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Range graph generated
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function applyTrade
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for processClaims
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for processClaims
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function processClaims
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for computeEffectiveBalance
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for computeEffectiveBalance
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function computeEffectiveBalance
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for claim
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for claim
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function claim
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for claimFinalized
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for claimFinalized
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function claimFinalized
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for tradeCore
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | We should not consider this kind of return values!
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for tradeCore
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function tradeCore
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for getOrderAmount
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for getOrderAmount
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function getOrderAmount
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for trade
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for trade
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Range graph generated
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function trade
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for testOrder
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for testOrder
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function testOrder
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for computeMaxPosition
