[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function incomeIndex
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for stablecoin
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for stablecoin
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function stablecoin
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for setRewards
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for setRewards
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function setRewards
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for updateAndQuery
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for updateAndQuery
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function updateAndQuery
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for query
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for query
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function query
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for moneyMarket
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for moneyMarket
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function moneyMarket
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for updateAndQuery
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for updateAndQuery
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function updateAndQuery
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for query
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for query
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function query
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for moneyMarket
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for moneyMarket
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function moneyMarket
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for query
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for query
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function query
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for constructor
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for constructor
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Range graph generated
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function constructor
