[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Range graph generated
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Processed function constructor
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Generating return summary for isSigned
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Return summary generated for isSigned
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Processed function isSigned
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Generating return summary for hashMatch
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Return summary generated for hashMatch
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Processed function hashMatch
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Generating return summary for claimTokens
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Return summary generated for claimTokens
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Range graph generated
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Processed function claimTokens
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Value Range Analysis took 0.005386 seconds
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Value Range Analysis finished
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Storage dependency graph compostion started!
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Storage dependency graph compostion finished!
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Dependency detection started!
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Dependency detection finished!
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Static Analysis took 1.223284 seconds
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Dependency does not exist
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Symbolic execution is not needed!
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Analysis finished!
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Analysis took 1.223438 seconds
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Analysis finished at: 2023-07-06 07:24:07 AM
