[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function toInt256
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for mod
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for mod
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function mod
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for hashEIP712Message
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for hashEIP712Message
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function hashEIP712Message
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for isValidSignature
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for isValidSignature
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function isValidSignature
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for getOrder
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for getOrder
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function getOrder
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for hashOrder
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | We should not consider this kind of return values!
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for hashOrder
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function hashOrder
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for getOrderVersion
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for getOrderVersion
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function getOrderVersion
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for getExpiredAt
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for getExpiredAt
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function getExpiredAt
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for isMarketOrder
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for isMarketOrder
