[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for canBurnSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function canBurnSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for collateral
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for collateral
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function collateral
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for collateralisationRatio
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for collateralisationRatio
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function collateralisationRatio
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for collateralisationRatioAndAnyRatesInvalid
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for collateralisationRatioAndAnyRatesInvalid
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function collateralisationRatioAndAnyRatesInvalid
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for debtBalanceOf
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for debtBalanceOf
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function debtBalanceOf
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for issuanceRatio
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for issuanceRatio
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function issuanceRatio
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for lastIssueEvent
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for lastIssueEvent
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function lastIssueEvent
