[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | Processed function getAmountsIn
[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | Value Range Analysis took 0.003140 seconds
[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | Value Range Analysis finished
[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | Storage dependency graph compostion started!
[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | Storage dependency graph compostion finished!
[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | Dependency detection started!
[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | Dependency detection finished!
[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | Static Analysis took 0.146073 seconds
[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | Dependency does not exist
[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | Symbolic execution is not needed!
[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | Analysis finished!
[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | Analysis took 0.146221 seconds
[INFO] | 2023-07-06 06:23:10 AM | analyzer.IUniswapV2Router01_1 | Analysis finished at: 2023-07-06 06:23:10 AM
