[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function transferOwnership
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for transferOwnership
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for transferOwnership
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Range graph generated
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function transferOwnership
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for initialize
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for initialize
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Range graph generated
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function initialize
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for addValidator
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for addValidator
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Range graph generated
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function addValidator
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for removeValidator
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for removeValidator
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Range graph generated
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function removeValidator
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Value Range Analysis took 0.011326 seconds
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Value Range Analysis finished
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Storage dependency graph compostion started!
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Storage dependency graph compostion finished!
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Dependency detection started!
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Dependency detection finished!
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Static Analysis took 0.967745 seconds
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Dependency does not exist
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Symbolic execution is not needed!
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Analysis finished!
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Analysis took 0.967892 seconds
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Analysis finished at: 2023-07-06 05:52:38 AM
