[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Processed function dispatchTransferFrom
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Generating return summary for transferOwnership
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Return summary generated for transferOwnership
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Processed function transferOwnership
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Generating return summary for constructor
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Return summary generated for constructor
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Range graph generated
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Processed function constructor
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Generating return summary for getAssetProxy
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Return summary generated for getAssetProxy
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Processed function getAssetProxy
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Generating return summary for dispatchTransferFrom
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Return summary generated for dispatchTransferFrom
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Processed function dispatchTransferFrom
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Generating return summary for onlyOwner
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Return summary generated for onlyOwner
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Processed function onlyOwner
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Generating return summary for transferOwnership
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Return summary generated for transferOwnership
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Range graph generated
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Processed function transferOwnership
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Generating return summary for writeBytesWithLength
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Return summary generated for writeBytesWithLength
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Processed function writeBytesWithLength
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Generating return summary for slice
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Return summary generated for slice
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Processed function slice
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Generating return summary for deepCopyBytes
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Return summary generated for deepCopyBytes
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Processed function deepCopyBytes
[INFO] | 2023-07-06 06:35:06 AM | analyzer.MixinAssetProxyDispatcher_2 | Generating return summary for popLast20Bytes
