[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Return summary generated for redeem
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Processed function redeem
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Generating return summary for redeemTo
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Return summary generated for redeemTo
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Processed function redeemTo
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Generating return summary for redeemInVault
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Return summary generated for redeemInVault
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Processed function redeemInVault
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Generating return summary for redeemAndWithdrawTo
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Return summary generated for redeemAndWithdrawTo
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Processed function redeemAndWithdrawTo
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Generating return summary for batchDeposit
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Return summary generated for batchDeposit
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Processed function batchDeposit
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Generating return summary for batchWithdraw
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Return summary generated for batchWithdraw
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Processed function batchWithdraw
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Generating return summary for deposit
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Return summary generated for deposit
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Processed function deposit
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Generating return summary for withdraw
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Return summary generated for withdraw
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Processed function withdraw
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Generating return summary for internalTransfer
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Return summary generated for internalTransfer
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Processed function internalTransfer
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Generating return summary for createSet
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Return summary generated for createSet
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Processed function createSet
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Generating return summary for depositModule
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Return summary generated for depositModule
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:03 AM | analyzer.ExchangeExecution_2 | Processed function depositModule
