[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for isConfigured
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function isConfigured
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for isFinished
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for isFinished
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function isFinished
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for burnExcess
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for burnExcess
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function burnExcess
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for startTime
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for startTime
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function startTime
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for totalDuration
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for totalDuration
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function totalDuration
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for tokensRemaining
