[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Generating return summary for getBeneficiaries
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Return summary generated for getBeneficiaries
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Processed function getBeneficiaries
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Range graph generated
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Processed function slitherConstructorVariables
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Generating return summary for isIssetUser
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Return summary generated for isIssetUser
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Processed function isIssetUser
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Generating return summary for timePayment
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Return summary generated for timePayment
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Processed function timePayment
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Generating return summary for calculationOfPayment
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Return summary generated for calculationOfPayment
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Processed function calculationOfPayment
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Generating return summary for ReturnEthToEtherhero
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Return summary generated for ReturnEthToEtherhero
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Range graph generated
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Processed function ReturnEthToEtherhero
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Generating return summary for receivePercent
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Return summary generated for receivePercent
[WARNING] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Can there be this kind of variables
[WARNING] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Can there be this kind of variables
[WARNING] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Can there be this kind of variables
[WARNING] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Can there be this kind of variables
[WARNING] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Can there be this kind of variables
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Range graph generated
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Processed function receivePercent
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Generating return summary for makeDeposit
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Return summary generated for makeDeposit
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Range graph generated
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Processed function makeDeposit
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Generating return summary for fallback
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Return summary generated for fallback
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Range graph generated
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Processed function fallback
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Value Range Analysis took 0.009526 seconds
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Value Range Analysis finished
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Storage dependency graph compostion started!
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Storage dependency graph compostion finished!
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Dependency detection started!
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Dependency detection finished!
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Static Analysis took 1.359383 seconds
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Dependency does not exist
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Symbolic execution is not needed!
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Analysis finished!
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Analysis took 1.359543 seconds
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Analysis finished at: 2023-07-07 08:59:03 AM
