[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for transferFrom
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for transferFrom
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function transferFrom
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for safeTransferFrom
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for safeTransferFrom
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function safeTransferFrom
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for safeTransferFrom
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for safeTransferFrom
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function safeTransferFrom
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for _registerInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for _registerInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Range graph generated
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function _registerInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for balanceOf
